"FUA","ForestsPct","Forests_area_cv","Forests_area_mean","Forests_cohesion","Forests_contig_mean","Forests_division","Forests_edgeD","WetlandsPct","HerbaceousPct","ArtificialPct","Artificial_cohesion","Artificial_contig_mean","Forests_UrbanFabric1500","Artificial_UrbanFabric1000","Vegetation_Roads1500","Roads_cohesion","Roads_contig_mean","Roads_edgeD","Indus_cohesion","Indus_contig_mean","UrbanFabric_cohesion","UrbanFabric_contig_mean","ImperviousPct"
"AL001L1",0.577209649902326,-0.181743205072322,0.371813429744613,0.5976040264012,2.11833561075378,0.277997231478071,0.744927803391619,0.160214500988375,0.996298339080358,-0.663568240811579,0.168054088319253,-1.5440460002078,0.588967093532932,-0.154782072581333,1.38950548878569,0.717918895296986,-0.959430182917888,-0.712842691233014,-0.685223736043655,-1.83056569929965,1.34812088157153,-0.618364111737222,-0.474592860845102
"AL003L1",0.671435261766302,-0.0466656646990453,0.0959107671127367,0.551727290685125,1.87732283768947,0.236951167979514,1.1808742019362,0.0110200333434159,0.902527156473777,-0.713258025663528,0.959055045084423,-2.13493967278173,0.910153919989805,-0.265139361866915,1.16773479853509,-3.15260622265062,-3.20567413062669,-0.991763214345906,-0.193491900194975,-1.95784934858795,-0.991919819932646,-0.507064939488316,-0.930070523997424
"AL004L1",0.488175485182801,0.847022857991879,0.612102122757595,0.683268415963772,1.5944193424796,-0.0498229603155093,0.24826816805435,0.14686878892953,1.91802625179621,-0.799172292131939,-2.84389181072947,-2.01390413506374,0.167896314833069,-0.476948739655285,1.54320324347324,-3.78953365268868,-3.14515343283407,-0.998907866571153,-3.78225407395059,-1.7988635141226,-0.76522692335804,-1.09837417974116,-1.19914877082546
"AL005L0",-0.233008342894133,-0.764750899985038,0.0601215387082698,0.312269765904379,2.57217863710367,0.37564273412202,-0.533246525652582,3.56934012877625,1.25002848735071,-0.753736213304348,-1.88143325712166,-0.66863308875056,-0.11216743214821,-0.450325241723112,0.17119540540428,-2.74839681975087,-1.53481216319007,-0.998572547097787,-1.56346298571773,-1.17367155327573,0.663215870879335,-0.78011524650807,-1.03395861615286
"AT001L2",0.085085329101651,1.73098870679758,0.0338799781314998,0.646164697762438,-0.224033137568031,0.305436961136878,-0.188519790737055,0.0973985407119127,-0.592723861313747,-0.0507604399189083,1.02990134250274,-0.608915948999031,-0.191085749434651,-0.173234171788921,-0.186920266894732,0.702076505254201,0.227575718973257,-0.132671734194242,0.233287258225518,-0.561918994808229,0.706965551707505,0.463112516823441,-0.283213151833477
"AT002L2",1.43239548742027,1.71836431106397,0.205959532651967,0.675486454599259,0.909597822064325,-0.215746650797933,2.17098241413435,-0.326204928124018,-0.569012076180547,-0.546400369578626,-0.42988021336004,-0.219605959428043,0.238105125164686,-0.329805289317897,1.02693364809714,0.758413190452266,0.349696599262744,-0.209713619498093,-0.619678207232239,-0.525472115363136,-0.278935661452256,-1.21742568923651,-0.0747078193629095
"AT003L2",0.834611374669103,0.511814644867174,-0.219315899461562,0.524283873927949,0.535116905379169,0.33618584542745,1.48990949282365,-0.306085964459868,-0.595683634048148,-0.397871458341129,0.271109678372531,-0.36018963491751,0.146104193326491,-0.217099537189021,0.387365745462413,0.0203323562433552,-0.383863399147881,-0.631043356219988,-1.56027723292556,-0.610456814267505,-1.21717425353882,-0.571892897883028,-0.423744265215616
"AT004L2",1.02072259562886,0.811958911109133,0.0721795329462281,0.632493028753061,0.0229465995793802,0.122307176261921,0.447019179241539,-0.188894492701564,-0.252946660629874,-0.208470010757835,0.115278808271532,-0.570867201919492,0.0742864628829078,-0.0858383656011546,0.699506052803186,0.4220017408938,1.18324011704399,-0.500169074735178,-0.876918258427537,-0.73030308798306,-1.40750954240559,-0.310361817044272,-0.331065361607923
"AT005L2",0.393137037954233,1.34325294530569,1.10837015189523,0.728462526134035,-0.390374530842082,-0.696518214590195,0.364149213149481,-0.327918175570412,2.49239242329823,-0.661373842547324,-0.69222771113921,-0.830283648015679,0.0611239185238865,-0.369269275474183,2.74026255970627,0.391481078863308,0.832161106215279,-0.324238909603049,-0.447478954262382,-0.729942714153462,-0.228275292126338,-0.0246515294907915,-1.0542012415186
"AT006L1",2.21747985481705,0.96778199314228,1.10339438815109,0.695691721438766,-0.131355108939384,-0.898495330090678,1.22025109189317,-0.30904909653303,-0.488760021666568,-0.546275148590772,0.469335193300393,0.0594372685663868,0.271987116024177,-0.340395929990632,1.75298879739019,0.0264324551079745,0.248840633836022,-0.582815475080593,0.254423357642815,-0.0582512932051707,-1.89629067037632,0.102977284151929,-0.593593278422357
"BA001L1",2.46265882020299,2.22354888341089,2.30368720842033,0.747833410278803,0.998879779255357,-4.02777691337918,0.696094467162712,-0.327918175570412,-0.0134474165014139,-0.654001252414244,-0.917756848874794,-1.32546288444637,1.20493443149278,-0.242593150737462,2.36270335481171,0.227404089309474,-0.116845556216632,-0.795593353675197,0.464746073609783,-0.479492764966335,0.0507899739895587,-0.492614471779147,-0.655552248623266
"BA002L1",1.83628995849947,1.34829762530438,0.462702021094639,0.695945715799728,1.22499384506917,-0.219461679893764,1.21556712233577,-0.323180298075034,-0.540253810074983,-0.743883137186093,-1.80312671771373,-1.62740114629133,1.20346198535034,-0.396384544380299,1.22754598485296,-0.664938490315927,-0.116797514390631,-0.869837459510364,0.357856595291913,-0.702259133095572,-2.16738814559561,-1.31170082146355,-0.647827814432077
"BA003L1",0.351120991995614,1.01313226026818,-0.0460212692851988,0.637043698015967,0.949208856528703,0.016806100324186,1.11324695198592,-0.326923725074095,2.64710749882261,-0.776829546653553,-2.14604142265456,-2.29997778479452,0.283796759709669,-0.444196234086458,2.79227808444055,-2.87690442815377,-2.54227417405381,-0.968617829222898,0.0220099562830131,-0.929323013013774,-1.67262096111729,-1.12670646671707,-1.1690511122503
"BA004L1",1.5882815199222,1.25333579985889,-0.165004755189527,0.644512497249973,-2.0095552696649,-0.240687853558037,2.49711316099143,-0.158633246063658,-0.292840927297096,-0.70858774550821,-1.51364635756314,-0.93516359381419,0.223028400506207,-0.464461533466545,1.28649946147032,-2.07181267249229,-2.59310652729334,-0.963512840997678,0.319370525963772,-0.765119974675964,0.128930208823253,0.0542665783547987,-0.120602263896827
"BA005L1",2.87794955627271,-0.0616403354565174,2.00640013175327,0.699754750476659,0.861081222430923,-1.70587461587843,1.22475114222135,-0.327918175570412,-0.473466478357929,-0.74181817187334,-0.762290974730156,-0.902641165527944,0.747073412626522,-0.448229103988876,2.07980402402596,-1.24247477937696,-0.831499462498243,-0.919808635382534,0.358597579723946,-0.967941411514653,-1.07879173891919,-1.00173051120211,-0.648971233120019
"BE001L2",-0.68772886516694,0.0285292749890718,-0.493851950894886,-0.360324607879924,0.216625447230404,0.388410756738815,-0.13900153527818,-0.327602247315595,-0.598297865705741,0.390966085333885,0.794549286996267,0.627667627961231,-0.264795963048833,0.041984131590312,-0.916366121427325,1.29515425599345,-0.28425078058311,0.793295787011221,0.233133448892128,-0.471513459193073,1.35943645167955,-0.346749992790453,1.3610331076429
"BE002L2",-0.715375117847867,-0.336943131818364,-0.418019895135137,0.222788191480642,0.120386296777486,0.380215228266318,0.0196625296874375,0.530178031668588,-0.560276322479154,0.610432354755008,0.826952566517599,1.8212279195808,-0.274235383940339,0.0704725819046945,-0.734498710512327,1.49019155586971,0.0527125068532066,2.65474732699672,-0.527582355068154,0.28814295063252,1.44176430787097,-0.437139555893684,2.12137123270165
"BE003L2",-1.01889158216128,-0.889388380437095,-0.546973581000043,-1.28079231349135,0.096381520503252,0.39160317313934,-0.751949692992431,-0.325901871845236,-0.579264490377157,0.00304074583492534,-0.0255967768524868,0.308727455708709,-0.320993082013438,-0.183296973768743,-1.32188896146682,1.32420209601344,-0.0416420308841417,2.40910314218551,-1.13906252947244,-0.298387256131334,0.581275999213088,-0.784995411486893,1.69805114899672
"BE004L2",-0.24073365427332,-0.278847806521113,-0.36061514356642,0.140119465822342,-0.0705635512460577,0.37595415413623,-0.186908939975804,-0.327918175570412,-0.590478737589072,-0.0387653067577102,-0.453157858169488,0.349029350737288,-0.192431341556052,-0.163866068366942,-0.543721463556041,0.680792089738796,0.812467792581647,0.20882226381233,-0.525926280532228,-0.632560456742999,0.960727062746467,-0.307664106982378,0.811644172987659
"BE005L2",-0.224882682137602,0.167898084101997,-0.335049802875007,0.435509851955789,-0.393382227363502,0.342019715072511,0.621757975023523,-0.327918175570412,-0.59179076907232,-0.0069721217666662,-0.213083763702262,-0.139622085867911,-0.199801012102244,-0.176791736471393,-0.45849415511573,1.30180242569826,1.20799047366157,1.10966320620056,0.127674530772045,-0.849184740433505,0.755385843699868,-0.577935392475637,1.05188395790924
"BE006L2",-0.897229519123557,-0.551740296680709,-0.479092014029171,0.0278175054707524,-0.24347660494681,0.384915579128189,-0.435265018716465,-0.0337850691175333,-0.582024255383213,-0.0372130607481355,0.247550416276472,0.0859797084375668,-0.296474180999693,-0.175280338311283,-1.21688337884299,0.838907276569659,0.0414344271933492,1.17034760084132,-0.718800607041466,0.260698488428424,0.696363320356906,-1.17609438237884,0.758435588122005
"BE007L2",0.06621619460631,-0.262756806426841,-0.286004138175732,0.391222446400809,-0.249310475342975,0.323430692120038,0.975641692433845,-0.327918175570412,-0.597631032548963,-0.121633134584242,-0.346995329108439,-0.0999950072232224,-0.109375365223341,-0.131751716814669,-0.325677424205396,0.814616191211895,1.58324086692088,0.570386386144563,-1.34148728629091,-0.557706434492572,-0.155353914897478,-0.519828697948156,0.322584784612977
"BE008L1",-0.325696679737915,-0.136506166668041,-0.472429094964722,-0.00550799395223067,0.0343362412289388,0.347208643487352,0.902741754841639,-0.197717574564184,-0.436252285536337,-0.249759272639799,-0.483514923256115,0.159351221553079,-0.183680541776545,-0.212678624870937,-0.653884188111195,1.16789624241996,0.992306808608441,0.601221358705539,-0.848943794365762,-0.365025972175784,0.786991416988089,-0.127817102132638,1.22968320387457
